luas_tanah,luas_bangunan,jumlah_kamar,jumlah_kamar_mandi,jarak_ke_kota,umur_rumah,garasi,lantai,daya_listrik,akses_transportasi,harga
68,179,4,1,7,20,1,1,1149,2,898327165
149,102,5,2,6,11,1,2,1290,4,532388512
112,221,1,1,28,4,1,2,1234,3,1061947763
189,209,5,2,2,15,1,1,1528,1,1084050901
143,247,4,3,6,6,0,2,1036,2,1267138881
151,209,4,2,18,22,1,1,2421,3,1046436581
170,117,4,2,2,17,0,1,1726,3,589650278
247,232,5,1,18,24,1,1,1626,2,1138439469
258,233,4,1,15,6,0,1,2400,4,1174955289
231,172,5,1,27,19,1,1,1889,2,842441617
67,194,4,2,19,2,0,2,3319,2,995900142
234,87,3,3,2,15,1,1,1834,1,441391234
94,73,4,1,20,11,0,1,1301,1,357035962
265,118,5,1,25,8,1,2,2366,4,582943717
140,165,2,2,6,19,0,1,1514,3,782409352
223,147,4,1,1,13,1,2,2196,2,773550824
109,247,2,3,24,12,0,2,2082,4,1196888358
163,188,3,3,15,5,0,2,3135,1,932829502
191,193,1,1,28,6,1,1,2021,2,924421928
61,146,3,1,23,22,1,1,1030,3,701992849
193,173,4,2,10,4,0,1,2094,1,863308507
113,236,2,3,19,19,1,2,1082,1,1149343837
165,119,2,3,17,20,0,1,1263,1,538831795
63,142,5,1,5,1,0,2,938,4,742882318
113,52,2,2,29,20,0,1,3444,3,186486298
280,197,5,3,4,17,1,2,2272,2,990100734
250,236,1,3,10,12,0,1,1820,4,1139546310
205,213,4,2,24,15,0,1,915,4,1038628490
277,196,5,2,17,1,1,1,1392,4,1015503027
103,139,1,3,10,14,1,2,2349,1,683312911
221,244,2,3,17,6,1,2,2031,3,1200581091
261,196,2,2,28,5,1,1,1210,4,959002437
249,197,1,3,20,11,0,1,1638,2,943606265
287,145,2,1,24,4,0,2,1445,3,692091989
73,248,1,1,5,13,0,2,3361,2,1209181730
154,101,5,2,2,11,0,2,1150,3,543283771
107,210,5,2,6,3,1,1,1658,2,1084755469
74,217,1,2,21,1,0,2,2704,1,1056553770
259,177,5,1,2,6,0,1,2197,4,926098641
265,88,5,3,13,18,1,2,2531,2,443650540
274,131,5,1,11,24,0,1,2814,3,647846162
249,153,3,3,11,10,0,2,1713,4,740492825
99,178,4,1,16,5,0,2,928,4,879832978
272,60,2,3,11,23,0,2,1857,3,268059798
267,234,3,1,19,10,0,2,2932,2,1137652941
296,227,5,2,15,12,0,2,1376,1,1156170243
141,200,1,1,25,2,1,1,1217,1,999786070
170,208,5,3,23,13,1,2,1144,2,1035056086
112,91,4,1,23,8,0,2,1647,4,447789643
83,148,5,1,16,2,0,2,1596,4,778458065
213,56,1,1,11,20,1,1,1171,4,250989029
276,193,4,2,22,1,0,2,2671,4,951940369
247,139,5,1,16,5,0,1,2162,2,708994276
183,161,4,2,8,9,0,2,3324,4,820955176
296,109,2,2,4,17,1,2,1165,3,558233146
100,162,2,1,8,9,0,1,1820,4,794609307
216,51,5,1,4,11,1,2,1239,1,307876898
74,178,4,1,24,15,0,1,1288,4,851778748
104,97,1,3,25,24,1,1,2950,2,406446830
124,189,5,1,3,6,1,2,2065,1,1006497728
148,246,2,2,3,23,0,1,1275,2,1189457168
130,86,2,1,27,3,1,2,2933,2,436714493
68,209,5,3,29,17,0,2,3271,1,1030380340
147,58,4,1,18,5,1,1,1045,2,324159646
188,148,2,3,29,12,0,1,2881,2,708283612
295,196,4,3,26,18,0,1,1192,4,935717207
195,97,2,1,19,14,1,1,1331,3,459040627
275,180,2,2,19,21,0,2,1604,2,845669764
122,197,3,3,21,24,0,2,2898,2,924884451
198,201,2,1,5,11,1,1,1298,2,994688891
140,103,1,1,18,9,0,2,1863,4,469014653
195,169,5,2,28,2,0,2,3134,3,843064147
222,210,5,3,10,12,1,2,2941,1,1076808635
222,201,4,3,29,3,1,2,2728,4,1028549943
92,165,2,1,22,3,0,1,3008,4,818884400
182,124,1,1,21,1,0,1,1838,3,578863999
64,162,4,2,6,8,1,2,1609,3,824790691
293,249,3,2,1,22,1,1,1706,4,1252450196
290,213,4,3,5,8,0,1,2363,1,1082503105
100,215,4,3,9,11,1,1,2225,4,1084352415
87,153,2,1,12,9,0,2,910,3,746066318
194,133,3,3,26,5,0,2,1985,1,659321714
260,161,4,2,14,14,0,2,2768,3,787186361
131,148,1,2,2,3,0,1,3173,1,747256629
71,202,1,1,17,21,0,2,1671,2,964871979
221,142,5,2,14,5,1,2,2494,3,761998210
92,195,3,2,26,5,1,1,2507,3,979175911
107,177,3,2,13,19,1,2,2233,4,886314548
210,159,5,2,27,14,1,2,1784,3,777586368
121,131,4,1,9,4,0,1,2289,3,681707970
275,243,3,1,26,13,0,1,1125,2,1171950831
96,103,1,3,25,10,0,1,1724,3,482312381
158,212,1,2,15,18,0,2,3165,2,1025035574
231,238,2,3,25,8,1,2,1836,2,1183886345
163,218,3,1,22,8,0,2,3453,2,1064607851
273,210,4,1,15,7,0,1,3206,2,1044860589
278,117,5,1,24,8,1,1,2811,1,617092598
94,82,5,1,11,14,1,2,2696,4,439624900
252,191,4,1,16,19,1,2,953,1,956487589
286,70,2,1,29,6,1,1,1626,3,343442508
160,97,5,1,17,1,0,1,2444,1,503148245
234,197,3,2,26,23,0,1,1943,1,943523310
265,177,2,3,4,15,1,1,2813,3,869540070
190,185,3,1,1,1,0,2,2676,3,958864435
60,184,1,2,8,17,0,1,2496,3,870491878
64,244,2,2,17,1,0,2,2814,1,1223741029
277,194,5,3,3,15,1,2,3366,1,982460826
201,177,2,1,29,23,0,2,1749,3,798344664
162,82,2,3,20,2,1,1,3009,4,427167707
86,225,2,1,15,14,0,1,3163,4,1109432801
196,236,2,2,15,21,0,1,902,2,1117590212
266,164,3,2,24,8,0,1,1059,3,816785284
74,168,1,2,22,8,1,2,1680,2,829707431
149,71,4,2,14,19,0,1,1792,4,337320139
101,207,2,3,26,7,1,1,2930,2,1022227191
183,87,5,1,28,19,1,2,3276,3,425919139
264,158,2,1,23,6,1,1,1479,3,763100108
238,100,5,3,14,6,0,2,2833,3,508393942
122,231,3,1,24,3,0,2,2280,1,1125854190
155,57,5,2,2,7,0,2,2190,2,299284382
290,76,4,1,13,19,0,2,2540,4,349696042
111,76,1,2,26,8,1,2,1851,4,367407753
155,70,5,3,14,10,1,2,1887,4,373432053
191,79,5,1,27,20,1,2,2118,1,371372847
281,146,1,3,24,15,0,2,1820,1,671819593
288,77,4,1,19,15,1,1,2255,3,399631465
210,160,2,2,7,1,0,1,1069,4,790757181
290,241,5,3,3,20,1,1,1420,1,1227539912
296,246,1,1,15,7,0,1,2386,3,1222208480
202,110,3,2,23,4,0,2,939,4,550871818
230,97,1,3,14,6,1,1,2460,2,472686144
88,196,3,3,11,1,1,2,2318,3,997356760
95,53,4,1,15,5,1,1,1854,1,286220027
72,84,2,1,28,23,1,1,1883,1,370284856
219,241,1,1,13,1,0,1,1874,3,1182205956
